id,status,symbol,time,type,trend,price,balance_rate
12300001,pendding,601398.XSHG,2019-04-22 09:30:00,sell,long,5.83,0.00
12300001,pendding,601939.XSHG,2019-04-22 09:30:00,sell,long,7.37,0.00
12300001,pendding,601318.XSHG,2019-04-22 09:30:00,sell,long,84.96,0.00
12300001,pendding,600519.XSHG,2019-04-22 09:30:00,buy,long,949.20,0.10
12300001,pendding,601988.XSHG,2019-04-22 09:30:00,sell,long,3.93,0.00
12300001,pendding,600028.XSHG,2019-04-22 09:30:00,buy,long,5.93,0.10
12300001,pendding,601328.XSHG,2019-04-22 09:30:00,sell,long,6.27,0.00
12300001,pendding,000651.XSHE,2019-04-22 09:30:00,sell,long,61.14,0.00
12300001,pendding,601601.XSHG,2019-04-22 09:30:00,sell,long,37.83,0.00
12300001,pendding,603288.XSHG,2019-04-22 09:30:00,buy,long,85.50,0.10
12300001,pendding,300498.XSHE,2019-04-22 09:30:00,buy,long,40.71,0.10
12300001,pendding,600050.XSHG,2019-04-22 09:30:00,buy,long,7.23,0.10
12300001,pendding,601066.XSHG,2019-04-22 09:30:00,buy,long,25.17,0.10
12300001,pendding,600887.XSHG,2019-04-22 09:30:00,buy,long,30.98,0.10
12300001,pendding,601336.XSHG,2019-04-22 09:30:00,sell,long,62.00,0.00
12300001,pendding,601390.XSHG,2019-04-22 09:30:00,buy,long,7.46,0.10
