id,status,symbol,time,type,trend,price,balance_rate
12300001,pendding,601628.XSHG,2019-08-27 09:30:00,buy,long,29.55,0.10
12300001,pendding,000858.XSHE,2019-08-27 09:30:00,buy,long,132.38,0.10
12300001,pendding,600900.XSHG,2019-08-27 09:30:00,buy,long,19.18,0.10
12300001,pendding,601166.XSHG,2019-08-27 09:30:00,buy,long,18.27,0.10
12300001,pendding,000333.XSHE,2019-08-27 09:30:00,buy,long,52.05,0.10
12300001,pendding,000651.XSHE,2019-08-27 09:30:00,buy,long,55.35,0.10
12300001,pendding,600104.XSHG,2019-08-27 09:30:00,buy,long,24.96,0.10
12300001,pendding,600276.XSHG,2019-08-27 09:30:00,buy,long,75.80,0.10
12300001,pendding,603288.XSHG,2019-08-27 09:30:00,buy,long,107.79,0.10
12300001,pendding,600030.XSHG,2019-08-27 09:30:00,buy,long,22.77,0.10
