id,status,symbol,time,type,trend,price,balance_rate
12300001,pendding,601857.XSHG,2019-03-08 09:30:00,sell,long,7.66,0.00
12300001,pendding,601988.XSHG,2019-03-08 09:30:00,sell,long,3.75,0.00
12300001,pendding,600028.XSHG,2019-03-08 09:30:00,sell,long,5.85,0.00
12300001,pendding,600000.XSHG,2019-03-08 09:30:00,sell,long,11.50,0.00
12300001,pendding,601138.XSHG,2019-03-08 09:30:00,sell,long,15.82,0.00
12300001,pendding,600016.XSHG,2019-03-08 09:30:00,sell,long,6.40,0.00
12300001,pendding,600030.XSHG,2019-03-08 09:30:00,sell,long,24.08,0.00
12300001,pendding,601668.XSHG,2019-03-08 09:30:00,sell,long,6.03,0.00
12300001,pendding,600050.XSHG,2019-03-08 09:30:00,sell,long,6.47,0.00
12300001,pendding,601800.XSHG,2019-03-08 09:30:00,sell,long,12.08,0.00
