id,status,symbol,time,type,trend,price,balance_rate
12300001,pendding,601939.XSHG,2019-07-04 09:30:00,buy,long,7.50,0.10
12300001,pendding,600036.XSHG,2019-07-04 09:30:00,sell,long,36.08,0.00
12300001,pendding,601328.XSHG,2019-07-04 09:30:00,buy,long,6.21,0.10
12300001,pendding,600900.XSHG,2019-07-04 09:30:00,buy,long,18.28,0.10
12300001,pendding,601166.XSHG,2019-07-04 09:30:00,buy,long,18.29,0.10
12300001,pendding,000333.XSHE,2019-07-04 09:30:00,buy,long,54.40,0.10
12300001,pendding,000651.XSHE,2019-07-04 09:30:00,sell,long,56.88,0.00
12300001,pendding,000002.XSHE,2019-07-04 09:30:00,buy,long,29.55,0.10
12300001,pendding,601998.XSHG,2019-07-04 09:30:00,buy,long,6.08,0.10
12300001,pendding,601138.XSHG,2019-07-04 09:30:00,buy,long,13.26,0.10
