id,status,symbol,time,type,trend,price,balance_rate
12300001,pendding,601288.XSHG,2019-08-01 09:30:00,buy,long,3.58,0.10
12300001,pendding,601988.XSHG,2019-08-01 09:30:00,buy,long,3.68,0.10
12300001,pendding,600036.XSHG,2019-08-01 09:30:00,sell,long,36.20,0.00
12300001,pendding,600028.XSHG,2019-08-01 09:30:00,sell,long,5.23,0.00
12300001,pendding,601328.XSHG,2019-08-01 09:30:00,buy,long,5.78,0.10
12300001,pendding,601166.XSHG,2019-08-01 09:30:00,sell,long,18.86,0.00
12300001,pendding,600000.XSHG,2019-08-01 09:30:00,sell,long,11.65,0.00
12300001,pendding,601998.XSHG,2019-08-01 09:30:00,buy,long,5.91,0.10
12300001,pendding,600276.XSHG,2019-08-01 09:30:00,buy,long,66.73,0.10
12300001,pendding,601138.XSHG,2019-08-01 09:30:00,buy,long,13.42,0.10
