id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600104.XSHG,2009-02-02 09:37:00,sell,long,6.46,0.00,1
123653,done,600104.XSHG,2009-02-02 09:48:00,buy,long,6.56,0.10,1
123653,done,600104.XSHG,2009-02-02 09:51:00,sell,long,6.67,0.00,1
123653,done,600585.XSHG,2009-02-02 09:57:00,sell,long,30.08,0.00,1
123653,done,600028.XSHG,2009-02-02 10:03:00,buy,long,7.88,0.10,1
123653,done,600104.XSHG,2009-02-02 10:14:00,buy,long,6.57,0.10,1
123653,done,600519.XSHG,2009-02-02 10:23:00,sell,long,100.40,0.00,1
123653,done,600104.XSHG,2009-02-02 10:38:00,sell,long,6.70,0.00,1
123653,done,600104.XSHG,2009-02-02 11:13:00,buy,long,6.82,0.10,1
123653,done,600016.XSHG,2009-02-02 11:46:00,buy,long,4.47,0.10,1
123653,done,600104.XSHG,2009-02-02 12:14:00,sell,long,6.71,0.00,1
123653,done,600104.XSHG,2009-02-02 12:40:00,buy,long,6.80,0.10,1
123653,done,600887.XSHG,2009-02-02 13:27:00,sell,long,9.62,0.00,1
