id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,000858.XSHE,2007-02-06 09:31:00,buy,long,24.00,0.10,1
123653,done,000858.XSHE,2007-02-06 09:38:00,sell,long,23.52,0.00,1
123653,done,600104.XSHG,2007-02-06 09:47:00,sell,long,9.22,0.00,1
123653,done,600104.XSHG,2007-02-06 09:52:00,buy,long,9.14,0.10,1
123653,done,600104.XSHG,2007-02-06 10:09:00,sell,long,9.25,0.00,1
123653,done,600104.XSHG,2007-02-06 10:32:00,buy,long,9.11,0.10,1
123653,done,000858.XSHE,2007-02-06 11:08:00,buy,long,23.50,0.10,1
123653,done,600104.XSHG,2007-02-06 11:10:00,sell,long,9.25,0.00,1
123653,done,600104.XSHG,2007-02-06 11:17:00,buy,long,9.15,0.10,1
123653,done,600104.XSHG,2007-02-06 12:39:00,sell,long,9.28,0.00,1
123653,done,600519.XSHG,2007-02-06 12:51:00,buy,long,95.00,0.10,1
123653,done,600104.XSHG,2007-02-06 13:13:00,buy,long,9.37,0.10,1
123653,done,600030.XSHG,2007-02-06 13:21:00,buy,long,33.40,0.10,1
123653,done,000858.XSHE,2007-02-06 13:23:00,sell,long,24.56,0.00,1
123653,done,600519.XSHG,2007-02-06 13:27:00,sell,long,96.90,0.00,1
123653,done,600585.XSHG,2007-02-06 13:28:00,buy,long,30.59,0.10,1
123653,done,600519.XSHG,2007-02-06 13:29:00,buy,long,95.13,0.10,1
