id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600030.XSHG,2009-03-27 09:31:00,buy,long,24.25,0.10,1
123653,done,600019.XSHG,2009-03-27 09:31:00,buy,long,5.80,0.10,1
123653,done,601939.XSHG,2009-03-27 09:31:00,sell,long,4.39,0.00,1
123653,done,601166.XSHG,2009-03-27 09:31:00,buy,long,22.80,0.10,1
123653,done,601328.XSHG,2009-03-27 09:33:00,sell,long,6.30,0.00,1
123653,done,600000.XSHG,2009-03-27 09:36:00,buy,long,21.98,0.10,1
123653,done,000001.XSHE,2009-03-27 09:38:00,buy,long,16.60,0.10,1
123653,done,600028.XSHG,2009-03-27 09:43:00,sell,long,9.10,0.00,1
123653,done,601857.XSHG,2009-03-27 09:56:00,buy,long,11.73,0.10,1
123653,done,600050.XSHG,2009-03-27 10:03:00,buy,long,5.59,0.10,1
123653,done,601328.XSHG,2009-03-27 10:09:00,buy,long,6.44,0.10,1
123653,done,600585.XSHG,2009-03-27 10:14:00,buy,long,36.29,0.10,1
123653,done,600019.XSHG,2009-03-27 10:26:00,sell,long,6.00,0.00,1
123653,done,600104.XSHG,2009-03-27 10:52:00,buy,long,9.91,0.10,1
123653,done,600104.XSHG,2009-03-27 11:14:00,sell,long,9.82,0.00,1
123653,done,601328.XSHG,2009-03-27 11:26:00,sell,long,6.34,0.00,1
123653,done,601088.XSHG,2009-03-27 11:40:00,buy,long,20.90,0.10,1
123653,done,601328.XSHG,2009-03-27 12:54:00,buy,long,6.43,0.10,1
