id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601628.XSHG,2011-04-01 09:30:00,buy,long,21.16,0.10,1
12300001,pendding,601166.XSHG,2011-04-01 09:30:00,buy,long,29.51,0.10
12300001,pendding,000002.XSHE,2011-04-01 09:30:00,buy,long,8.75,0.10
