id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601398.XSHG,2019-04-23 09:30:00,sell,long,5.82,0.00,1
12300001,pendding,601857.XSHG,2019-04-23 09:30:00,buy,long,7.71,0.10
12300001,pendding,601288.XSHG,2019-04-23 09:30:00,sell,long,3.77,0.00
12300001,pendding,600519.XSHG,2019-04-23 09:30:00,buy,long,962.08,0.10
12300001,pendding,601988.XSHG,2019-04-23 09:30:00,sell,long,3.94,0.00
12300001,pendding,601628.XSHG,2019-04-23 09:30:00,sell,long,30.00,0.00
12300001,pendding,600028.XSHG,2019-04-23 09:30:00,buy,long,5.90,0.10
12300001,pendding,000858.XSHE,2019-04-23 09:30:00,buy,long,102.72,0.10
12300001,pendding,600900.XSHG,2019-04-23 09:30:00,buy,long,16.73,0.10
12300001,pendding,600016.XSHG,2019-04-23 09:30:00,sell,long,6.48,0.00
12300001,pendding,603288.XSHG,2019-04-23 09:30:00,buy,long,86.25,0.10
12300001,pendding,000001.XSHE,2019-04-23 09:30:00,sell,long,14.11,0.00
12300001,pendding,300498.XSHE,2019-04-23 09:30:00,buy,long,40.78,0.10
12300001,pendding,600050.XSHG,2019-04-23 09:30:00,buy,long,7.13,0.10
12300001,pendding,601066.XSHG,2019-04-23 09:30:00,buy,long,26.18,0.10
12300001,pendding,600887.XSHG,2019-04-23 09:30:00,buy,long,30.73,0.10
12300001,pendding,601800.XSHG,2019-04-23 09:30:00,sell,long,13.55,0.00
12300001,pendding,300760.XSHE,2019-04-23 09:30:00,buy,long,129.53,0.10
