id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601318.XSHG,2016-09-02 09:30:00,buy,long,34.61,0.10,1
12300001,pendding,000002.XSHE,2016-09-02 09:30:00,sell,long,23.61,0.00
12300001,pendding,601668.XSHG,2016-09-02 09:30:00,buy,long,6.36,0.10
