id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601318.XSHG,2017-07-07 09:30:00,buy,long,51.20,0.10,1
12300001,pendding,601988.XSHG,2017-07-07 09:30:00,buy,long,3.68,0.10
12300001,pendding,600036.XSHG,2017-07-07 09:30:00,buy,long,23.61,0.10
