id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601288.XSHG,2017-05-05 09:30:00,sell,long,3.33,0.00,1
12300001,pendding,600000.XSHG,2017-05-05 09:30:00,sell,long,14.95,0.00
12300001,pendding,600019.XSHG,2017-05-05 09:30:00,sell,long,6.10,0.00
