id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601857.XSHG,2014-07-17 09:30:00,buy,long,7.55,0.10,1
12300001,pendding,000002.XSHE,2014-07-17 09:30:00,sell,long,8.65,0.00
12300001,pendding,603288.XSHG,2014-07-17 09:30:00,buy,long,32.75,0.10
