id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601398.XSHG,2014-10-27 09:30:00,sell,long,3.50,0.00,1
12300001,pendding,000333.XSHE,2014-10-27 09:30:00,sell,long,19.79,0.00
12300001,pendding,002415.XSHE,2014-10-27 09:30:00,sell,long,19.27,0.00
