id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,000858.XSHE,2016-09-27 09:30:00,sell,long,32.40,0.00,1
12300001,pendding,601166.XSHG,2016-09-27 09:30:00,buy,long,15.96,0.10
12300001,pendding,002304.XSHE,2016-09-27 09:30:00,buy,long,65.86,0.10
