id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601766.XSHG,2011-03-18 09:30:00,buy,long,7.64,0.10,1
12300001,pendding,600585.XSHG,2011-03-18 09:30:00,buy,long,35.48,0.10
12300001,pendding,600019.XSHG,2011-03-18 09:30:00,sell,long,7.03,0.00
