id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,000333.XSHE,2017-08-14 09:30:00,sell,long,39.88,0.00,1
12300001,pendding,600585.XSHG,2017-08-14 09:30:00,buy,long,23.64,0.10
12300001,pendding,002304.XSHE,2017-08-14 09:30:00,sell,long,89.69,0.00
