id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601857.XSHG,2015-10-26 09:30:00,sell,long,8.86,0.00,1
12300001,pendding,600036.XSHG,2015-10-26 09:30:00,sell,long,18.13,0.00
12300001,pendding,600028.XSHG,2015-10-26 09:30:00,sell,long,5.13,0.00
