id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,600028.XSHG,2016-04-27 09:30:00,buy,long,4.91,0.10,1
12300001,pendding,600000.XSHG,2016-04-27 09:30:00,sell,long,17.89,0.00
12300001,pendding,002415.XSHE,2016-04-27 09:30:00,buy,long,30.79,0.10
