id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601398.XSHG,2013-11-26 09:30:00,sell,long,3.80,0.00,1
12300001,pendding,600028.XSHG,2013-11-26 09:30:00,sell,long,4.79,0.00
12300001,pendding,601818.XSHG,2013-11-26 09:30:00,sell,long,2.83,0.00
