id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,000858.XSHE,2017-03-17 09:30:00,sell,long,40.90,0.00,1
12300001,pendding,603288.XSHG,2017-03-17 09:30:00,sell,long,31.31,0.00
12300001,pendding,600887.XSHG,2017-03-17 09:30:00,sell,long,18.19,0.00
