id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601398.XSHG,2015-04-29 09:30:00,buy,long,5.58,0.10,1
12300001,pendding,601939.XSHG,2015-04-29 09:30:00,buy,long,7.06,0.10,1
12300001,pendding,601857.XSHG,2015-04-29 09:30:00,sell,long,14.02,0.00,1
12300001,pendding,601288.XSHG,2015-04-29 09:30:00,buy,long,4.06,0.10,1
12300001,pendding,601988.XSHG,2015-04-29 09:30:00,buy,long,5.01,0.10,1
12300001,pendding,000002.XSHE,2015-04-29 09:30:00,sell,long,14.21,0.00,1
12300001,pendding,601998.XSHG,2015-04-29 09:30:00,buy,long,8.18,0.10,1
12300001,pendding,600276.XSHG,2015-04-29 09:30:00,sell,long,56.09,0.00,1
12300001,pendding,600016.XSHG,2015-04-29 09:30:00,buy,long,10.82,0.10,1
12300001,pendding,600887.XSHG,2015-04-29 09:30:00,sell,long,36.82,0.00,1
12300001,pendding,601800.XSHG,2015-04-29 09:30:00,sell,long,22.05,0.00,1
12300001,pendding,600019.XSHG,2015-04-29 09:30:00,buy,long,9.43,0.10,1
