id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,600104.XSHG,2017-04-17 09:30:00,buy,long,25.50,0.10,1
12300001,pendding,600276.XSHG,2017-04-17 09:30:00,buy,long,54.09,0.10
12300001,pendding,601688.XSHG,2017-04-17 09:30:00,buy,long,17.12,0.10
