id,status,symbol,time,type,trend,price,balance_rate,try_count
12300001,pendding,601288.XSHG,2013-08-26 09:30:00,sell,long,2.48,0.00,1
12300001,pendding,600585.XSHG,2013-08-26 09:30:00,buy,long,16.11,0.10
12300001,pendding,601336.XSHG,2013-08-26 09:30:00,buy,long,23.02,0.10
