number,exchange,id,value,syl
2416,XSHE,2186,36,84.64
2407,XSHE,780,36,-5.14
2440,XSHG,603086,36,21.91
2402,XSHE,589,36,25.5
2420,XSHG,603158,36,49.95
2425,XSHE,300695,36,28.81
2434,XSHE,300304,36,32.6
2419,XSHE,2354,36,-20.14
2432,XSHE,300465,36,175.92
2412,XSHG,603727,36,240.65
2422,XSHG,600381,36,114.45
2404,XSHE,300221,36,4.69
2421,XSHE,2395,36,278.79
2397,XSHE,2148,36,179.13
2438,XSHE,2878,36,35.25
2444,XSHE,300364,36,-11
2394,XSHE,2551,36,30.2
2396,XSHE,300358,36,142.79
2399,XSHG,603520,36,22.23
2413,XSHE,2877,36,77.09
2415,XSHG,603416,36,28.91
2435,XSHE,300466,36,24.48
2446,XSHE,300360,36,22.95
2418,XSHE,2842,36,37.7
2405,XSHG,603499,36,66.56
2414,XSHG,603058,36,37
2417,XSHG,600501,36,-80.01
2445,XSHG,603030,36,17.68
2426,XSHE,833,36,172.18
2505,XSHG,600644,35,16.18
2475,XSHE,2380,35,76.77
2483,XSHE,300250,35,84.07
2500,XSHE,2351,35,31.12
2499,XSHE,300241,35,52.86
2467,XSHG,600665,35,5.65
2493,XSHG,600684,35,12.43
2455,XSHG,600448,35,581.18
2468,XSHE,300005,35,21.69
2479,XSHG,603518,35,65.61
2482,XSHG,603555,35,62.67
2501,XSHE,2763,35,7.59
2504,XSHE,2291,35,40.28
2466,XSHG,603017,35,38.9
2461,XSHG,600439,35,17.65
2503,XSHG,603398,35,36.41
2478,XSHG,603706,35,43.53
2492,XSHE,300696,35,36.34
2497,XSHE,731,35,29.63
2490,XSHG,603332,35,26.71
2494,XSHG,603126,35,-223.47
2452,XSHE,300434,35,17.21
2457,XSHG,603789,35,215.05
2460,XSHE,300382,35,41.62
2474,XSHE,2527,35,-83.8
2489,XSHE,2406,35,13.39
2496,XSHE,2265,35,-179.23
2502,XSHE,300278,35,-21.07
2450,XSHG,603776,35,31.37
2471,XSHE,300011,35,118.05
2462,XSHG,603186,35,58.97
2506,XSHE,2688,35,22.85
2481,XSHG,603358,35,24.03
2488,XSHE,2448,35,17.64
2453,XSHE,300597,35,301.78
2458,XSHE,300508,35,13.76
2463,XSHE,2869,35,93.7
2484,XSHE,300533,35,30.24
2495,XSHE,2561,35,12.79
2476,XSHE,2554,35,10.34
2477,XSHE,300157,35,173.05
2487,XSHE,407,35,25.31
2454,XSHE,2329,35,83.87
2507,XSHG,601616,35,82.35
2473,XSHE,300256,35,-10.74
2498,XSHE,2381,35,16.42
2465,XSHE,2348,35,48.22
2451,XSHE,518,35,-69.21
2464,XSHE,300436,35,116.55
2469,XSHE,300583,35,27.35
2485,XSHG,600610,35,-120.48
2470,XSHE,26,35,13.65
2459,XSHG,603085,35,38.43
2472,XSHE,2943,35,32.84
2480,XSHE,300757,35,138.82
2486,XSHG,603901,35,43.9
2491,XSHE,300763,35,128.33
2456,XSHE,2822,35,27.82
2552,XSHE,2263,34,498.33
2523,XSHE,300333,34,215.01
2537,XSHE,2316,34,46.49
2538,XSHE,2829,34,207.78
2509,XSHE,300414,34,100.8
2513,XSHE,2845,34,162.65
2515,XSHE,300390,34,71.05
2534,XSHG,600683,34,16.07
2521,XSHG,603608,34,22.3
2528,XSHE,300778,34,29.58
2536,XSHE,628,34,49.78
2544,XSHE,669,34,-11.21
2527,XSHE,2170,34,-101.33
2526,XSHE,2455,34,35.96
2554,XSHE,2584,34,-43.78
2511,XSHE,2837,34,144.98
2516,XSHG,603686,34,16.38
2531,XSHG,600262,34,94.67
2532,XSHE,300512,34,28.19
2535,XSHE,300443,34,24.85
2540,XSHE,2164,34,15.75
2553,XSHE,2480,34,-39.97
2522,XSHG,600386,34,50.14
2524,XSHG,603226,34,65.08
2550,XSHG,603661,34,18.06
2551,XSHG,600354,34,-23.66
2517,XSHG,603197,34,24.57
2541,XSHE,300745,34,54.01
2508,XSHE,2401,34,33.29
2514,XSHE,300245,34,121.06
2542,XSHE,300687,34,-2622.12
2548,XSHG,603990,34,-204.87
2510,XSHE,753,34,30.46
2539,XSHE,698,34,26.21
2518,XSHE,2891,34,124.92
2547,XSHE,300447,34,34.42
2549,XSHE,300490,34,226.51
2512,XSHE,300050,34,57.47
2520,XSHE,2052,34,80.35
2543,XSHE,2813,34,-72.78
2519,XSHE,300336,34,23.11
2533,XSHE,300148,34,15.83
2525,XSHE,2173,34,25.11
2546,XSHE,300318,34,-134.03
2529,XSHG,603351,34,22.24
2530,XSHG,600255,34,-21.69
2545,XSHG,603385,34,15.89
2591,XSHE,2669,33,31.25
2597,XSHE,920,33,31.51
2598,XSHE,300234,33,18.79
2601,XSHE,300337,33,-24.62
2570,XSHE,722,33,26.37
2564,XSHE,300686,33,18.25
2609,XSHE,20,33,3144.3
2588,XSHG,600732,33,-118.28
2558,XSHE,2394,33,11.4
2562,XSHE,2087,33,10.74
2566,XSHG,603878,33,10.32
2560,XSHG,600279,33,51.06
2595,XSHG,600333,33,295.13
2557,XSHE,300586,33,23.64
2585,XSHG,603630,33,17.45
2587,XSHG,603078,33,171.86
2572,XSHE,2172,33,-15.4
2586,XSHG,600527,33,92.06
2561,XSHE,300187,33,90.88
2608,XSHE,5,33,-45.77
2574,XSHE,2532,33,30.22
2581,XSHE,300272,33,77.04
2582,XSHE,300035,33,17.74
2589,XSHE,2009,33,22.12
2594,XSHG,600980,33,81.57
2610,XSHE,2889,33,15.22
2580,XSHG,603626,33,63.18
2579,XSHE,2033,33,23.38
2593,XSHE,888,33,42.33
2555,XSHG,600121,33,129.07
2596,XSHE,2751,33,120.42
2584,XSHE,2942,33,17.3
2565,XSHE,2536,33,29.82
2567,XSHE,2454,33,8.83
2578,XSHG,603788,33,19.39
2600,XSHE,572,33,-18.6
2602,XSHG,600303,33,-27.27
2556,XSHE,300209,33,-130.83
2559,XSHE,2362,33,-102.03
2573,XSHE,300231,33,43.65
2590,XSHE,300468,33,58.64
2604,XSHE,2339,33,-16.6
2605,XSHG,603138,33,112.27
2611,XSHE,2253,33,194.43
2568,XSHG,603003,33,-66.8
2576,XSHE,300599,33,14.57
2592,XSHE,300620,33,148.33
2606,XSHG,603322,33,-35.68
2607,XSHG,603602,33,-174.73
2563,XSHE,300280,33,60.19
2575,XSHG,601999,33,44.24
2599,XSHE,673,33,-32.12
2583,XSHE,300677,33,24.27
2603,XSHE,2923,33,28.15
2612,XSHE,300404,33,586.74
2577,XSHE,2775,33,47.3
2569,XSHG,603203,33,24.16
2571,XSHG,603187,33,16.81
2626,XSHE,300008,32,-169.7
2644,XSHE,300600,32,57.83
2619,XSHE,300440,32,344.12
2630,XSHE,2806,32,-269.27
2652,XSHG,603386,32,46
2634,XSHG,600082,32,92.72
2648,XSHE,2887,32,19.1
2647,XSHE,506,32,32.61
2618,XSHG,603968,32,15.56
2625,XSHE,2125,32,44.44
2633,XSHE,300121,32,14.49
2651,XSHG,603817,32,25.75
2657,XSHE,300779,32,46.36
2615,XSHG,603617,32,36.71
2616,XSHE,300403,32,23.62
2627,XSHE,837,32,131.46
2635,XSHE,2196,32,79.25
2637,XSHE,2559,32,32.71
2639,XSHG,600860,32,-35.27
2642,XSHE,300173,32,740.27
2643,XSHG,603339,32,22.96
2646,XSHE,2645,32,21.04
2655,XSHG,600815,32,-265.07
2656,XSHE,2801,32,25.21
2645,XSHG,603366,32,-36.29
2629,XSHG,603629,32,41.94
2631,XSHE,300345,32,315.46
2632,XSHG,600558,32,95.85
2621,XSHG,600189,32,37.83
2623,XSHE,300048,32,38.1
2649,XSHE,700,32,12.97
2658,XSHE,300580,32,24.08
2620,XSHE,2780,32,781.6
2622,XSHG,600191,32,12.56
2653,XSHE,2350,32,110.6
2614,XSHE,2881,32,130.62
2636,XSHE,2089,32,-18.86
2641,XSHG,600130,32,-228.06
2617,XSHG,603999,32,219.31
2650,XSHE,2502,32,-33.35
2613,XSHE,2365,32,119.28
2624,XSHE,2728,32,20.07
2628,XSHG,603538,32,18.98
2638,XSHG,603978,32,49.56
2640,XSHE,300103,32,1575.64
2654,XSHG,603283,32,21.57
2700,XSHE,812,31,482.65
2672,XSHE,2577,31,184.89
2684,XSHE,2866,31,30.27
2688,XSHG,600353,31,53.24
2689,XSHG,603773,31,73.57
2690,XSHG,603133,31,-89.61
2703,XSHE,2655,31,585.96
2675,XSHG,600556,31,-118.23
2679,XSHG,600173,31,5.13
2701,XSHE,2486,31,214.03
2665,XSHE,300387,31,41.82
2677,XSHE,2753,31,34.99
2694,XSHE,300156,31,-16.11
2683,XSHE,2793,31,42.6
2697,XSHE,300097,31,-19.11
2698,XSHE,300415,31,14.46
2687,XSHE,2403,31,16
2682,XSHG,601007,31,58.99
2680,XSHG,603779,31,50.07
2693,XSHE,2772,31,11.4
2692,XSHG,603810,31,14.46
2664,XSHE,300432,31,23.62
2686,XSHG,603586,31,19.26
2699,XSHG,603179,31,13.99
2704,XSHE,300473,31,29.94
2678,XSHE,300542,31,-116.34
2696,XSHE,2642,31,66.89
2671,XSHG,603123,31,17.48
2666,XSHE,2495,31,94.4
2695,XSHE,2330,31,51.54
2660,XSHE,300265,31,325.34
2661,XSHE,2742,31,21.84
2668,XSHG,600802,31,10.86
2702,XSHG,603616,31,521.27
2669,XSHE,300151,31,59.8
2670,XSHE,2231,31,-305.35
2674,XSHG,600203,31,56.8
2685,XSHE,300392,31,353.33
2705,XSHG,600892,31,-78.31
2659,XSHG,603301,31,24.73
2673,XSHG,603987,31,24.84
2662,XSHE,590,31,72.7
2681,XSHE,300639,31,45.32
2691,XSHG,603079,31,54.58
2706,XSHE,2940,31,22.68
2667,XSHG,603912,31,28.27
2663,XSHG,600784,31,105.8
2676,XSHG,600113,31,28.1
2715,XSHG,603516,30,41.17
2721,XSHE,2599,30,64.27
2756,XSHE,2162,30,-98.49
2719,XSHE,2379,30,127.96
2741,XSHG,600401,30,-2.7
2746,XSHG,603045,30,49.92
2750,XSHG,600135,30,59.35
2757,XSHE,300080,30,-118.21
2751,XSHE,300042,30,47.58
2708,XSHE,300461,30,21.15
2760,XSHE,416,30,99.17
2710,XSHG,603909,30,119.51
2716,XSHG,603843,30,-202.36
2766,XSHE,300675,30,-31.4
2763,XSHE,300719,30,-67
2722,XSHE,2442,30,475.16
2727,XSHE,2637,30,17.1
2747,XSHE,300637,30,20.32
2753,XSHG,603192,30,28.21
2707,XSHE,404,30,58.03
2729,XSHE,2535,30,-96.72
2732,XSHE,2786,30,-17.34
2735,XSHE,2686,30,-58.26
2739,XSHE,300228,30,228.83
2767,XSHE,2248,30,-47.34
2762,XSHG,603685,30,30.53
2754,XSHE,300350,30,54.42
2768,XSHE,300240,30,139.52
2755,XSHE,300488,30,33.94
2737,XSHE,428,30,-9.83
2713,XSHG,600616,30,18.98
2718,XSHE,300175,30,25.06
2743,XSHG,600127,30,12.3
2740,XSHE,2725,30,32.77
2765,XSHE,300375,30,27.41
2736,XSHE,300730,30,-71.34
2748,XSHE,300541,30,-10917.83
2758,XSHE,2178,30,-21.34
2764,XSHE,300249,30,639.03
2723,XSHG,600287,30,3.86
2733,XSHG,600697,30,14.85
2738,XSHG,600361,30,15.46
2761,XSHG,603101,30,84.59
2712,XSHE,300356,30,-48.29
2720,XSHE,300111,30,-62.77
2726,XSHE,300018,30,165.77
2734,XSHE,300341,30,37.09
2749,XSHE,2622,30,-77.59
2759,XSHE,300129,30,36.02
2725,XSHG,600321,30,245.38
2711,XSHE,300320,30,13.26
2742,XSHE,300426,30,-16.93
2714,XSHE,300683,30,25.34
2745,XSHG,603015,30,116.55
2728,XSHE,300536,30,154.09
2744,XSHG,603007,30,30.93
2717,XSHG,603165,30,10.94
2724,XSHG,601218,30,105.81
2730,XSHE,2823,30,40.15
2731,XSHG,603855,30,21.9
2752,XSHE,856,30,-472.15
2709,XSHE,2856,30,201.23
2809,XSHE,300449,29,-37.85
2811,XSHE,300155,29,125.54
2816,XSHG,600836,29,-46.51
2771,XSHG,601208,29,300.93
2788,XSHG,603663,29,38
2801,XSHE,2876,29,-50.63
2781,XSHG,600152,29,-33.81
2802,XSHG,601599,29,80.55
2785,XSHE,409,29,-15.91
2803,XSHE,605,29,108.64
2798,XSHG,600687,29,-8.01
2777,XSHE,422,29,25.93
2770,XSHE,2917,29,99.3
2783,XSHE,2165,29,35.28
2775,XSHE,677,29,808.08
2805,XSHE,300172,29,46.58
2786,XSHE,2795,29,49.37
2807,XSHE,2774,29,-44.34
2804,XSHE,2005,29,-9.02
2787,XSHG,603329,29,101.2
2780,XSHG,600165,29,-136.02
2778,XSHE,300756,29,53.62
2791,XSHG,600397,29,38.27
2799,XSHG,603600,29,18.68
2795,XSHG,603970,29,25.67
2817,XSHE,2086,29,1969.1
2784,XSHG,600469,29,8.25
2772,XSHE,300598,29,-130.26
2773,XSHE,2113,29,26.35
2790,XSHE,300738,29,51.17
2813,XSHE,715,29,35.2
2814,XSHE,554,29,2266.99
2796,XSHG,600419,29,23.34
2769,XSHE,2533,29,19.59
2779,XSHG,600192,29,401.6
2815,XSHE,2457,29,571.8
2792,XSHE,300767,29,38.19
2800,XSHE,300169,29,-149.12
2774,XSHG,600680,29,-30.01
2810,XSHE,300548,29,210.2
2789,XSHG,603825,29,-1786.56
2808,XSHE,300612,29,-58.79
2782,XSHE,2788,29,16.43
2776,XSHE,300584,29,32.94
2797,XSHE,300086,29,26.63
2793,XSHE,2819,29,128.7
2794,XSHE,300667,29,154.28
2812,XSHG,600595,29,-4.72
2806,XSHE,2374,29,33.16
2853,XSHG,600145,28,-9520.15
2866,XSHG,600396,28,7.9
2834,XSHG,603890,28,34.25
2840,XSHE,300380,28,236.7
2842,XSHE,300150,28,77.19
2844,XSHE,300399,28,92.27
2845,XSHE,300279,28,61.52
2854,XSHE,300701,28,40.9
2869,XSHE,300269,28,-21.09
2823,XSHG,600830,28,90.84
2867,XSHG,600692,28,128.92
2870,XSHG,600463,28,-68.99
2874,XSHE,2133,28,-136.51
2865,XSHE,2634,28,164.26
2830,XSHG,600532,28,-195.5
2826,XSHE,300500,28,52.73
2879,XSHG,600078,28,83.88
2828,XSHE,510,28,26.99
2849,XSHE,2810,28,24.45
2878,XSHE,2827,28,-86.52
2827,XSHE,2884,28,12.1
2838,XSHE,2483,28,27.88
2843,XSHE,300247,28,-34.35
2850,XSHE,300161,28,-27.97
2864,XSHG,603129,28,32.3
2824,XSHG,603117,28,30.47
2829,XSHG,603535,28,23.27
2877,XSHE,300464,28,34.06
2855,XSHE,2853,28,45.83
2861,XSHG,603006,28,27.41
2875,XSHG,603035,28,27.73
2825,XSHE,300552,28,-44.12
2821,XSHE,2187,28,12.96
2837,XSHG,600838,28,29.87
2873,XSHG,600774,28,83.23
2818,XSHE,300164,28,50.94
2835,XSHE,2227,28,-350.63
2852,XSHE,806,28,-56.25
2863,XSHE,300670,28,107.26
2871,XSHE,300117,28,38.96
2862,XSHE,2211,28,173.62
2822,XSHE,300560,28,92.71
2833,XSHE,300565,28,-38.2
2846,XSHE,300711,28,-212.3
2847,XSHG,603559,28,-126.97
2858,XSHE,300615,28,232.78
2832,XSHE,300528,28,53.28
2868,XSHG,600576,28,26.97
2856,XSHE,2932,28,43.13
2839,XSHE,300705,28,67.36
2841,XSHE,790,28,56.99
2857,XSHE,300289,28,117
2859,XSHG,600222,28,53.79
2860,XSHE,2114,28,206.75
2876,XSHE,2160,28,-37.37
2819,XSHE,2574,28,16.82
2820,XSHG,600375,28,119.21
2831,XSHG,600526,28,34.56
2848,XSHG,603289,28,27.57
2851,XSHE,2613,28,-44.38
2872,XSHE,300374,28,84.72
2886,XSHG,600101,27,22.95
2941,XSHG,600969,27,35.84
2889,XSHE,2184,27,-56.34
2914,XSHE,300446,27,22.46
2917,XSHE,300052,27,56
2890,XSHG,600405,27,-37.09
2931,XSHE,2885,27,86.88
2883,XSHG,600052,27,-27.4
2938,XSHG,603506,27,24.44
2892,XSHG,603637,27,171.57
2903,XSHE,421,27,85.31
2921,XSHE,2524,27,-131.08
2930,XSHE,300437,27,20.43
2933,XSHE,300722,27,112.53
2888,XSHE,300655,27,118.06
2896,XSHE,300538,27,79.46
2902,XSHG,603378,27,-61.7
2904,XSHG,603928,27,19.41
2908,XSHE,300135,27,205.6
2910,XSHG,603067,27,26.57
2915,XSHE,300225,27,140.33
2924,XSHE,635,27,53.55
2928,XSHE,300530,27,76.43
2934,XSHG,600281,27,-76.87
2936,XSHG,603938,27,23.7
2885,XSHE,570,27,270.87
2900,XSHE,816,27,219.53
2907,XSHE,2006,27,-24.76
2916,XSHG,603315,27,269.79
2919,XSHE,2337,27,-26.91
2926,XSHE,2722,27,34.68
2935,XSHE,300690,27,19.05
2937,XSHE,300154,27,50.49
2887,XSHE,300475,27,35.63
2912,XSHE,300472,27,37.17
2899,XSHG,600696,27,236.25
2920,XSHE,2682,27,65.92
2918,XSHE,610,27,-188.22
2929,XSHG,600408,27,33.83
2880,XSHG,603709,27,60.23
2895,XSHE,300469,27,-41.68
2925,XSHG,600858,27,9.61
2932,XSHE,2820,27,23.94
2881,XSHE,2560,27,19.84
2893,XSHE,2879,27,26.43
2906,XSHG,603703,27,490.48
2922,XSHG,603507,27,129.73
2923,XSHE,300514,27,-94.27
2940,XSHE,300025,27,-89.69
2891,XSHE,2143,27,-23.73
2939,XSHE,2247,27,19.63
2909,XSHE,300753,27,44.31
2911,XSHE,411,27,22.05
2913,XSHE,2107,27,49.71
2884,XSHE,2767,27,186.02
2905,XSHE,300165,27,35.36
2927,XSHE,300697,27,20.56
2898,XSHE,300649,27,36.63
2897,XSHE,2521,27,341.13
2882,XSHE,551,27,35.46
2894,XSHE,2811,27,28.62
2901,XSHG,600701,27,-5.19
2979,XSHE,300260,26,55.82
2983,XSHE,300305,26,31.97
2945,XSHG,600505,26,437.04
2952,XSHG,600982,26,28.98
2956,XSHE,300479,26,271.27
2948,XSHE,300632,26,25.46
2970,XSHE,2861,26,107.35
2974,XSHE,300032,26,-84.36
2984,XSHG,600599,26,27.36
2953,XSHG,600853,26,-109.69
2950,XSHG,603080,26,22.25
2989,XSHE,300581,26,186.2
2982,XSHG,600423,26,-5.95
2963,XSHE,2319,26,-188.41
2965,XSHE,300641,26,71.11
2967,XSHG,603227,26,-32.52
2969,XSHE,300537,26,19.09
2987,XSHG,603002,26,165.88
2991,XSHE,565,26,55.4
2993,XSHG,600249,26,13.48
2942,XSHE,955,26,185.98
2972,XSHG,603200,26,34.02
2944,XSHE,2122,26,-5.16
2949,XSHE,2445,26,-11.74
2954,XSHG,603988,26,33.2
2955,XSHE,2871,26,47.18
2957,XSHE,2278,26,85.1
2962,XSHE,2026,26,21.83
2978,XSHE,300385,26,29.65
2985,XSHG,603787,26,38.92
2997,XSHG,600084,26,96.42
2964,XSHG,600097,26,-26.31
2990,XSHE,2069,26,-14.79
2947,XSHE,300242,26,30.1
2968,XSHE,300277,26,348.49
2973,XSHG,603918,26,304.08
2951,XSHE,701,26,536.2
2958,XSHG,600712,26,4968.75
2986,XSHE,637,26,19.52
2960,XSHG,603020,26,22.25
2966,XSHE,2692,26,42.99
2980,XSHG,603859,26,69.74
2959,XSHE,300715,26,38.44
2943,XSHG,603856,26,16.43
2946,XSHE,2886,26,112
2961,XSHE,2676,26,-110.38
2976,XSHE,2855,26,77.45
2995,XSHE,2296,26,121.14
2977,XSHE,300688,26,63.97
2988,XSHE,2103,26,46.48
2975,XSHG,600080,26,58.27
2992,XSHE,2864,26,53.14
2994,XSHG,600976,26,23.58
2998,XSHE,10,26,221.22
2981,XSHG,603800,26,36.38
2996,XSHE,2730,26,40.26
2971,XSHE,909,26,149.13
3004,XSHG,600074,25,-10.26
3013,XSHE,2846,25,28.64
3050,XSHG,603838,25,57.11
3034,XSHE,300200,25,15
3025,XSHE,300589,25,489.07
3049,XSHE,880,25,63.85
3006,XSHE,300494,25,141.36
3009,XSHE,2908,25,74.01
3010,XSHE,971,25,11.87
3041,XSHE,300295,25,43.68
3042,XSHE,300419,25,168.98
3058,XSHE,300051,25,149.02
3001,XSHE,300416,25,185.55
3017,XSHG,603933,25,48.44
3032,XSHG,603738,25,-527.29
3039,XSHE,2076,25,-31.7
3043,XSHE,300582,25,35.3
3046,XSHE,300227,25,76.99
3056,XSHE,2045,25,131.25
3061,XSHE,2808,25,217.14
3053,XSHE,7,25,69.58
3007,XSHG,600370,25,53.36
3064,XSHE,300063,25,28.06
3051,XSHE,300090,25,-11.59
3003,XSHE,2765,25,-26.71
3020,XSHG,600421,25,-700.62
3021,XSHG,603667,25,25.64
3023,XSHG,603656,25,170.3
3024,XSHE,300281,25,84.95
3040,XSHE,300540,25,182.38
3045,XSHE,300391,25,24.79
3055,XSHE,300503,25,282.56
3063,XSHG,603701,25,38.82
3065,XSHG,603677,25,32.7
3047,XSHG,600698,25,204.88
3008,XSHE,300120,25,34.34
3059,XSHG,603028,25,126.06
3038,XSHG,603099,25,-24.79
3057,XSHG,603136,25,41.02
3014,XSHG,603326,25,997.25
3031,XSHE,2718,25,79.6
3054,XSHG,603208,25,59.32
3016,XSHE,300313,25,-74.66
3035,XSHG,600257,25,82.2
3018,XSHG,603758,25,-19.73
3030,XSHG,603239,25,22.43
3036,XSHG,603009,25,52.9
3048,XSHE,300742,25,-38.48
3005,XSHE,419,25,14.93
3037,XSHE,2336,25,18.88
3011,XSHE,819,25,93.42
3029,XSHE,2018,25,-25.35
2999,XSHE,2732,25,58
3000,XSHG,603016,25,47.45
3033,XSHE,300153,25,-88.8
3019,XSHG,603657,25,42.04
3060,XSHE,300214,25,23.32
3062,XSHE,2694,25,-26.33
3022,XSHE,300698,25,-524.74
3002,XSHE,17,25,-1728.72
3028,XSHE,300314,25,64.17
3026,XSHE,952,25,20.63
3012,XSHE,300306,25,49.99
3044,XSHE,2836,25,44.17
3015,XSHG,603895,25,56.52
3027,XSHE,2931,25,62
3052,XSHG,603036,25,96.33
3100,XSHE,300270,24,32.84
3114,XSHE,2623,24,-27.96
3076,XSHE,2888,24,164.38
3095,XSHE,300743,24,87.25
3122,XSHE,300543,24,28.66
3092,XSHE,2729,24,122.77
3115,XSHG,600237,24,-40.98
3120,XSHG,603380,24,39.32
3123,XSHE,300566,24,55.51
3117,XSHE,668,24,56.58
3118,XSHG,600159,24,36.96
3071,XSHE,2875,24,12.93
3085,XSHG,600107,24,-162.44
3108,XSHG,603665,24,36.07
3074,XSHG,600311,24,-57.42
3121,XSHG,600735,24,29.63
3086,XSHG,600727,24,15.39
3107,XSHG,600470,24,-11
3087,XSHE,300192,24,35.9
3090,XSHG,600367,24,37.33
3110,XSHE,2591,24,20.67
3091,XSHG,603011,24,191.2
3103,XSHE,2691,24,399.45
3104,XSHG,603320,24,50.88
3111,XSHG,603757,24,22.24
3130,XSHE,2723,24,36.1
3081,XSHE,2487,24,52.3
3067,XSHG,600749,24,-79.85
3094,XSHE,2306,24,-98.91
3126,XSHE,2696,24,80.42
3097,XSHG,600731,24,19.6
3132,XSHG,600538,24,381.53
3066,XSHE,2363,24,29.12
3080,XSHG,600178,24,-155.05
3098,XSHG,603809,24,15.62
3101,XSHE,300707,24,51.1
3105,XSHG,603768,24,17.62
3109,XSHE,2865,24,-18.38
3113,XSHG,600213,24,525.99
3129,XSHE,300507,24,88.97
3084,XSHE,300608,24,-14.54
3089,XSHE,300264,24,-52.86
3106,XSHG,600654,24,-6.01
3131,XSHE,300074,24,-49.3
3083,XSHG,600861,24,47.21
3093,XSHE,2828,24,-654.07
3069,XSHE,2702,24,46.39
3072,XSHE,2910,24,32.69
3077,XSHG,600962,24,403.96
3125,XSHE,2286,24,57.51
3073,XSHE,300491,24,-1126.91
3112,XSHE,300547,24,21.12
3096,XSHE,2858,24,-149.35
3127,XSHG,603598,24,67.09
3133,XSHE,300431,24,-33.62
3075,XSHE,2432,24,-17.13
3119,XSHG,603976,24,25.24
3079,XSHE,300239,24,79.5
3102,XSHG,603168,24,30.7
3124,XSHG,600071,24,-46.53
3128,XSHE,300648,24,336.1
3068,XSHG,603607,24,23.45
3082,XSHE,2731,24,39
3078,XSHG,603966,24,170.73
3099,XSHE,300486,24,57.76
3070,XSHE,2084,24,129.59
3088,XSHE,2789,24,18.32
3116,XSHE,632,24,48.89
3154,XSHE,300076,23,-69.48
3151,XSHE,2787,23,78.99
3149,XSHE,2201,23,227.75
3178,XSHG,603268,23,48.83
3187,XSHE,300179,23,46.09
3194,XSHE,300617,23,27
3172,XSHE,670,23,-24.54
3201,XSHE,300656,23,81.62
3136,XSHE,300563,23,45.54
3166,XSHG,603628,23,504.93
3199,XSHE,809,23,-19.76
3157,XSHE,2193,23,56.96
3197,XSHE,2015,23,-111.46
3190,XSHE,548,23,77.84
3164,XSHE,593,23,433.03
3189,XSHE,509,23,-200.74
3203,XSHG,600753,23,312.14
3137,XSHE,300405,23,72.9
3138,XSHG,603059,23,23.97
3152,XSHE,300019,23,40.44
3167,XSHE,2096,23,-22.54
3174,XSHE,2915,23,90.58
3182,XSHE,2802,23,36.56
3142,XSHE,782,23,57.03
3141,XSHE,300056,23,-27.59
3169,XSHE,300334,23,-25.9
3204,XSHE,300335,23,17.19
3144,XSHE,622,23,-382.03
3145,XSHE,595,23,-28.1
3146,XSHE,300593,23,61.56
3156,XSHE,2903,23,-75.03
3158,XSHE,300105,23,-27.93
3159,XSHE,300293,23,59.7
3162,XSHG,603321,23,132.85
3179,XSHE,300210,23,-39.58
3195,XSHE,2896,23,39.38
3168,XSHG,603726,23,21.19
3139,XSHE,2627,23,28.52
3165,XSHG,603066,23,39.82
3148,XSHG,603937,23,25.16
3191,XSHE,2615,23,44.21
3192,XSHE,890,23,70.76
3180,XSHG,603199,23,14.69
3198,XSHE,721,23,-52.29
3208,XSHE,430,23,-67.72
3175,XSHG,600540,23,-54.47
3176,XSHG,600359,23,527.28
3150,XSHE,2863,23,66.09
3155,XSHG,603089,23,19.29
3163,XSHG,603335,23,190.23
3170,XSHE,757,23,101.33
3207,XSHG,603767,23,33.31
3186,XSHE,300344,23,103.5
3134,XSHE,785,23,12.6
3171,XSHG,600865,23,10.09
3161,XSHE,2606,23,-76.17
3188,XSHE,300484,23,60.52
3177,XSHG,603725,23,672.53
3183,XSHG,603266,23,50.09
3210,XSHE,2825,23,54.13
3143,XSHE,586,23,-367.3
3206,XSHE,300312,23,-36.35
3181,XSHE,300071,23,-13.85
3205,XSHE,300246,23,34.95
3153,XSHE,300049,23,87.12
3185,XSHE,300519,23,17.41
3193,XSHG,600833,23,40.22
3196,XSHE,705,23,34.78
3200,XSHE,2898,23,179.45
3209,XSHE,300452,23,28.89
3135,XSHE,300112,23,54.37
3140,XSHE,2082,23,53.65
3202,XSHE,2012,23,469.36
3160,XSHG,603396,23,24.41
3184,XSHE,300526,23,322.55
3147,XSHE,2620,23,12.3
3173,XSHE,18,23,-4.44
3258,XSHE,300160,22,18.42
3231,XSHE,300283,22,188.49
3274,XSHE,2552,22,36.17
3259,XSHE,2835,22,-70.68
3225,XSHE,300162,22,45.98
3245,XSHE,2289,22,-25.65
3253,XSHE,573,22,7
3213,XSHG,600689,22,174.63
3227,XSHG,600232,22,80.9
3228,XSHE,2494,22,210.75
3242,XSHE,2687,22,34.3
3235,XSHE,300635,22,68.85
3260,XSHE,2469,22,91.42
3236,XSHG,600149,22,918.33
3222,XSHE,2360,22,72.45
3223,XSHE,300727,22,40.26
3230,XSHE,2805,22,74.04
3233,XSHE,2748,22,171.04
3248,XSHG,603798,22,11.14
3256,XSHG,603110,22,46.01
3257,XSHE,300505,22,44.55
3266,XSHE,2098,22,-86.76
3212,XSHE,2347,22,93.95
3221,XSHG,600520,22,-30.87
3250,XSHE,300095,22,29.53
3263,XSHE,2272,22,11.67
3269,XSHE,2598,22,34.19
3246,XSHG,603500,22,25.01
