id,status,symbol,time,type,trend,price,balance_rate,try_count,order_id,strategy_id
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,3BB0E366-2BF8-4EF6-BD2A-E6B60D0EB223,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,78336848-984E-49F6-B4FC-D5E263069DBC,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,2680A317-7088-4838-AF10-F90004A674FB,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,8FC44764-C279-493F-B833-EB8F64F8B2C6,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,23445BB2-1343-4965-970E-35B3657DF653,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,2C181250-B1D7-4CF4-A951-A4B4DD73BF3E,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,F6AD469B-A5EB-424D-A6E8-98E4BEEC0DB2,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-06-06 13:29:00,buy,long,10.20,0.10,1,A0BE703F-4787-4F02-A2DB-00CC034E375E,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-06-07 13:59:00,sell,long,10.46,0.00,1,3BB0E366-2BF8-4EF6-BD2A-E6B60D0EB223,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-07 13:59:00,sell,long,10.46,0.00,1,23445BB2-1343-4965-970E-35B3657DF653,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-07 13:59:00,sell,long,10.46,0.00,1,78336848-984E-49F6-B4FC-D5E263069DBC,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-07 14:29:00,sell,long,10.42,0.00,1,2C181250-B1D7-4CF4-A951-A4B4DD73BF3E,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-08 10:29:00,buy,long,11.13,0.10,1,9E5F541A-CC5E-42C5-9C71-1AD5F134A6BA,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-08 10:29:00,buy,long,11.13,0.10,1,1703923A-8511-4843-91F6-216AA0D107CC,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-08 10:29:00,buy,long,11.13,0.10,1,BF65B764-473D-44E7-BDF3-CF89CCCA1B77,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
