id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600050.XSHG,2007-09-13 09:57:00,sell,long,8.22,0.00,1
123653,done,600585.XSHG,2007-09-13 09:57:00,sell,long,73.05,0.00,1
123653,done,600000.XSHG,2007-09-13 09:57:00,buy,long,50.97,0.10,1
123653,done,601328.XSHG,2007-09-13 09:57:00,buy,long,13.64,0.10,1
123653,done,600050.XSHG,2007-09-13 10:57:00,buy,long,8.25,0.10,1
123653,done,600585.XSHG,2007-09-13 10:57:00,buy,long,73.50,0.10,1
123653,done,601398.XSHG,2007-09-13 10:59:00,sell,long,6.51,0.00,1
123653,done,601398.XSHG,2007-09-13 13:27:00,buy,long,6.46,0.10,1
123653,done,600030.XSHG,2007-09-13 14:27:00,buy,long,88.75,0.10,1
123653,done,601166.XSHG,2007-09-13 14:27:00,sell,long,59.16,0.00,1
123653,done,600000.XSHG,2007-09-13 14:27:00,sell,long,51.00,0.00,1
123653,done,600585.XSHG,2007-09-13 14:28:00,sell,long,74.80,0.00,1
123653,done,600104.XSHG,2007-09-13 14:28:00,buy,long,28.85,0.10,1
