id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,601628.XSHG,2014-07-24 09:57:00,buy,long,14.25,0.10,1
123653,done,600519.XSHG,2014-07-24 09:57:00,buy,long,167.05,0.10,1
123653,done,601766.XSHG,2014-07-24 09:58:00,buy,long,5.13,0.10,1
123653,done,601766.XSHG,2014-07-24 10:57:00,sell,long,5.15,0.00,1
123653,done,600104.XSHG,2014-07-24 10:59:00,buy,long,16.97,0.10,1
123653,done,600028.XSHG,2014-07-24 10:59:00,buy,long,5.08,0.10,1
123653,done,601318.XSHG,2014-07-24 13:27:00,sell,long,42.20,0.00,1
123653,done,601398.XSHG,2014-07-24 13:27:00,buy,long,3.49,0.10,1
