id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600276.XSHG,2016-11-17 09:57:00,sell,long,45.78,0.00,1
123653,done,600000.XSHG,2016-11-17 09:57:00,sell,long,16.59,0.00,1
123653,done,600276.XSHG,2016-11-17 10:57:00,buy,long,45.91,0.10,1
123653,done,601288.XSHG,2016-11-17 10:59:00,sell,long,3.15,0.00,1
123653,done,600050.XSHG,2016-11-17 13:27:00,sell,long,5.93,0.00,1
123653,done,600050.XSHG,2016-11-17 14:27:00,buy,long,6.01,0.10,1
123653,done,601766.XSHG,2016-11-17 14:27:00,buy,long,9.90,0.10,1
123653,done,601668.XSHG,2016-11-17 14:27:00,buy,long,8.03,0.10,1
