id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600585.XSHG,2013-04-10 09:57:00,sell,long,18.53,0.00,1
123653,done,600887.XSHG,2013-04-10 09:57:00,buy,long,31.07,0.10,1
123653,done,600028.XSHG,2013-04-10 09:59:00,sell,long,7.18,0.00,1
123653,done,600000.XSHG,2013-04-10 10:57:00,sell,long,9.99,0.00,1
123653,done,600276.XSHG,2013-04-10 10:57:00,buy,long,30.48,0.10,1
123653,done,601939.XSHG,2013-04-10 10:57:00,sell,long,4.67,0.00,1
123653,done,600887.XSHG,2013-04-10 13:27:00,sell,long,29.80,0.00,1
123653,done,600276.XSHG,2013-04-10 13:27:00,sell,long,30.28,0.00,1
123653,done,600276.XSHG,2013-04-10 14:27:00,buy,long,30.55,0.10,1
123653,done,600050.XSHG,2013-04-10 14:29:00,sell,long,3.55,0.00,1
