id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600276.XSHG,2019-04-25 09:57:00,buy,long,63.48,0.10,1
123653,done,600000.XSHG,2019-04-25 09:57:00,buy,long,11.67,0.10,1
123653,done,600276.XSHG,2019-04-25 10:57:00,sell,long,64.62,0.00,1
123653,done,601066.XSHG,2019-04-25 10:57:00,sell,long,28.60,0.00,1
123653,done,600000.XSHG,2019-04-25 10:57:00,sell,long,11.59,0.00,1
123653,done,600276.XSHG,2019-04-25 10:58:00,buy,long,64.64,0.10,1
123653,done,601066.XSHG,2019-04-25 13:27:00,buy,long,27.56,0.10,1
123653,done,600000.XSHG,2019-04-25 13:27:00,buy,long,11.64,0.10,1
123653,done,600276.XSHG,2019-04-25 13:27:00,sell,long,64.45,0.00,1
123653,done,600887.XSHG,2019-04-25 13:28:00,buy,long,30.93,0.10,1
123653,done,600887.XSHG,2019-04-25 14:27:00,sell,long,30.60,0.00,1
123653,done,600000.XSHG,2019-04-25 14:27:00,sell,long,11.59,0.00,1
