id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,601398.XSHG,2012-02-02 09:58:00,sell,long,4.30,0.00,1
123653,done,601318.XSHG,2012-02-02 13:27:00,buy,long,39.54,0.10,1
123653,done,600887.XSHG,2012-02-02 13:27:00,sell,long,20.90,0.00,1
123653,done,601628.XSHG,2012-02-02 13:27:00,buy,long,19.07,0.10,1
123653,done,600000.XSHG,2012-02-02 13:27:00,buy,long,9.24,0.10,1
123653,done,601288.XSHG,2012-02-02 13:28:00,buy,long,2.73,0.10,1
123653,done,600000.XSHG,2012-02-02 14:27:00,sell,long,9.38,0.00,1
123653,done,600887.XSHG,2012-02-02 14:28:00,buy,long,20.89,0.10,1
