id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600028.XSHG,2013-11-28 09:58:00,buy,long,4.75,0.10,1
123653,done,600276.XSHG,2013-11-28 09:59:00,sell,long,33.92,0.00,1
123653,done,600585.XSHG,2013-11-28 10:58:00,sell,long,17.76,0.00,1
123653,done,601766.XSHG,2013-11-28 10:59:00,sell,long,5.42,0.00,1
123653,done,600104.XSHG,2013-11-28 10:59:00,sell,long,15.28,0.00,1
123653,done,601668.XSHG,2013-11-28 13:27:00,buy,long,3.31,0.10,1
123653,done,600887.XSHG,2013-11-28 13:27:00,sell,long,40.54,0.00,1
123653,done,600585.XSHG,2013-11-28 13:27:00,buy,long,18.22,0.10,1
123653,done,601766.XSHG,2013-11-28 13:28:00,buy,long,5.50,0.10,1
123653,done,600104.XSHG,2013-11-28 13:28:00,buy,long,15.48,0.10,1
123653,done,600050.XSHG,2013-11-28 13:28:00,buy,long,3.36,0.10,1
123653,done,600276.XSHG,2013-11-28 13:29:00,buy,long,34.05,0.10,1
123653,done,601299.XSHG,2013-11-28 13:29:00,sell,long,5.74,0.00,1
123653,done,600887.XSHG,2013-11-28 14:27:00,buy,long,40.50,0.10,1
123653,done,600276.XSHG,2013-11-28 14:27:00,sell,long,33.94,0.00,1
123653,done,601299.XSHG,2013-11-28 14:27:00,buy,long,5.69,0.10,1
