id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,601766.XSHG,2009-04-16 09:57:00,buy,long,4.56,0.10,1
123653,done,600000.XSHG,2009-04-16 09:57:00,buy,long,22.38,0.10,1
123653,done,601328.XSHG,2009-04-16 09:57:00,sell,long,6.86,0.00,1
123653,done,600050.XSHG,2009-04-16 09:58:00,buy,long,5.78,0.10,1
123653,done,600276.XSHG,2009-04-16 10:57:00,sell,long,39.83,0.00,1
123653,done,601628.XSHG,2009-04-16 10:57:00,sell,long,24.79,0.00,1
123653,done,601939.XSHG,2009-04-16 10:57:00,sell,long,4.47,0.00,1
123653,done,600028.XSHG,2009-04-16 10:58:00,sell,long,9.62,0.00,1
123653,done,600000.XSHG,2009-04-16 10:59:00,sell,long,22.13,0.00,1
123653,done,601998.XSHG,2009-04-16 13:27:00,buy,long,5.01,0.10,1
123653,done,600016.XSHG,2009-04-16 13:27:00,buy,long,5.88,0.10,1
123653,done,600000.XSHG,2009-04-16 13:27:00,buy,long,22.61,0.10,1
123653,done,601398.XSHG,2009-04-16 13:27:00,sell,long,4.11,0.00,1
123653,done,601328.XSHG,2009-04-16 13:27:00,buy,long,7.03,0.10,1
123653,done,600028.XSHG,2009-04-16 13:28:00,buy,long,9.66,0.10,1
123653,done,601988.XSHG,2009-04-16 13:28:00,buy,long,3.55,0.10,1
123653,done,600104.XSHG,2009-04-16 14:27:00,sell,long,10.66,0.00,1
123653,done,600000.XSHG,2009-04-16 14:27:00,sell,long,22.40,0.00,1
123653,done,601328.XSHG,2009-04-16 14:27:00,sell,long,6.90,0.00,1
123653,done,600276.XSHG,2009-04-16 14:28:00,buy,long,40.25,0.10,1
