id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600000.XSHG,2005-06-27 09:57:00,buy,long,7.76,0.10,1
123653,done,600887.XSHG,2005-06-27 09:57:00,buy,long,14.18,0.10,1
123653,done,600519.XSHG,2005-06-27 10:58:00,buy,long,53.68,0.10,1
123653,done,600519.XSHG,2005-06-27 13:27:00,sell,long,54.80,0.00,1
123653,done,600887.XSHG,2005-06-27 13:27:00,sell,long,13.62,0.00,1
123653,done,600104.XSHG,2005-06-27 13:28:00,buy,long,4.62,0.10,1
123653,done,600585.XSHG,2005-06-27 13:28:00,sell,long,6.86,0.00,1
123653,done,600000.XSHG,2005-06-27 14:27:00,sell,long,7.67,0.00,1
