id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600016.XSHG,2007-10-22 09:57:00,sell,long,15.48,0.00,1
123653,done,601328.XSHG,2007-10-22 09:57:00,sell,long,14.58,0.00,1
123653,done,601166.XSHG,2007-10-22 09:58:00,sell,long,59.63,0.00,1
123653,done,600000.XSHG,2007-10-22 10:57:00,buy,long,51.37,0.10,1
123653,done,601318.XSHG,2007-10-22 10:57:00,buy,long,136.10,0.10,1
123653,done,600028.XSHG,2007-10-22 10:58:00,buy,long,24.33,0.10,1
123653,done,601328.XSHG,2007-10-22 10:59:00,buy,long,14.99,0.10,1
123653,done,600028.XSHG,2007-10-22 13:27:00,sell,long,23.58,0.00,1
123653,done,600585.XSHG,2007-10-22 13:28:00,buy,long,83.51,0.10,1
