id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600887.XSHG,2007-09-20 09:57:00,sell,long,37.80,0.00,1
123653,done,600000.XSHG,2007-09-20 09:57:00,buy,long,51.00,0.10,1
123653,done,601628.XSHG,2007-09-20 09:57:00,sell,long,57.25,0.00,1
123653,done,600028.XSHG,2007-09-20 09:57:00,buy,long,17.83,0.10,1
123653,done,600585.XSHG,2007-09-20 09:57:00,sell,long,79.35,0.00,1
123653,done,601398.XSHG,2007-09-20 09:57:00,buy,long,6.55,0.10,1
123653,done,601988.XSHG,2007-09-20 09:58:00,buy,long,5.97,0.10,1
123653,done,600030.XSHG,2007-09-20 09:58:00,sell,long,88.42,0.00,1
123653,done,601988.XSHG,2007-09-20 10:57:00,sell,long,5.92,0.00,1
123653,done,601628.XSHG,2007-09-20 10:57:00,buy,long,57.79,0.10,1
123653,done,600028.XSHG,2007-09-20 10:57:00,sell,long,17.60,0.00,1
123653,done,600900.XSHG,2007-09-20 10:57:00,buy,long,19.88,0.10,1
123653,done,600585.XSHG,2007-09-20 10:57:00,buy,long,84.30,0.10,1
123653,done,600000.XSHG,2007-09-20 10:58:00,sell,long,49.78,0.00,1
123653,done,600050.XSHG,2007-09-20 10:58:00,buy,long,8.69,0.10,1
123653,done,600585.XSHG,2007-09-20 13:27:00,sell,long,86.82,0.00,1
123653,done,600104.XSHG,2007-09-20 13:27:00,buy,long,28.75,0.10,1
123653,done,600585.XSHG,2007-09-20 13:28:00,buy,long,86.80,0.10,1
123653,done,601988.XSHG,2007-09-20 13:29:00,buy,long,5.97,0.10,1
123653,done,600104.XSHG,2007-09-20 14:27:00,sell,long,28.61,0.00,1
123653,done,600585.XSHG,2007-09-20 14:27:00,sell,long,88.32,0.00,1
