id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,601088.XSHG,2009-05-05 09:57:00,sell,long,26.89,0.00,1
123653,done,601988.XSHG,2009-05-05 09:57:00,buy,long,3.57,0.10,1
123653,done,601328.XSHG,2009-05-05 09:57:00,sell,long,7.01,0.00,1
123653,done,600104.XSHG,2009-05-05 09:57:00,sell,long,12.22,0.00,1
123653,done,601318.XSHG,2009-05-05 09:57:00,buy,long,41.58,0.10,1
123653,done,601166.XSHG,2009-05-05 09:58:00,sell,long,26.07,0.00,1
123653,done,601398.XSHG,2009-05-05 09:58:00,buy,long,4.25,0.10,1
123653,done,600050.XSHG,2009-05-05 09:58:00,buy,long,6.74,0.10,1
123653,done,600585.XSHG,2009-05-05 10:57:00,sell,long,46.05,0.00,1
123653,done,601328.XSHG,2009-05-05 10:57:00,buy,long,7.01,0.10,1
123653,done,600104.XSHG,2009-05-05 10:57:00,buy,long,12.71,0.10,1
123653,done,600887.XSHG,2009-05-05 10:57:00,sell,long,15.10,0.00,1
123653,done,600028.XSHG,2009-05-05 10:57:00,sell,long,10.05,0.00,1
123653,done,600585.XSHG,2009-05-05 13:27:00,buy,long,45.83,0.10,1
123653,done,600104.XSHG,2009-05-05 13:27:00,sell,long,12.68,0.00,1
123653,done,600887.XSHG,2009-05-05 13:29:00,buy,long,15.17,0.10,1
123653,done,600887.XSHG,2009-05-05 14:27:00,sell,long,15.08,0.00,1
123653,done,600104.XSHG,2009-05-05 14:28:00,buy,long,12.88,0.10,1
