id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600276.XSHG,2017-09-21 09:57:00,sell,long,58.26,0.00,1
123653,done,600000.XSHG,2017-09-21 09:57:00,sell,long,12.85,0.00,1
123653,done,600585.XSHG,2017-09-21 09:58:00,sell,long,25.68,0.00,1
123653,done,600585.XSHG,2017-09-21 10:57:00,buy,long,25.41,0.10,1
123653,done,603288.XSHG,2017-09-21 10:57:00,buy,long,45.35,0.10,1
123653,done,601398.XSHG,2017-09-21 10:58:00,buy,long,5.87,0.10,1
123653,done,600050.XSHG,2017-09-21 13:27:00,buy,long,7.53,0.10,1
123653,done,601318.XSHG,2017-09-21 13:27:00,buy,long,53.77,0.10,1
123653,done,600000.XSHG,2017-09-21 13:27:00,buy,long,12.89,0.10,1
123653,done,600585.XSHG,2017-09-21 14:28:00,sell,long,25.22,0.00,1
