id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600000.XSHG,2009-02-17 09:57:00,sell,long,18.13,0.00,1
123653,done,600104.XSHG,2009-02-17 09:57:00,sell,long,8.52,0.00,1
123653,done,601166.XSHG,2009-02-17 09:57:00,buy,long,20.33,0.10,1
123653,done,601766.XSHG,2009-02-17 09:57:00,buy,long,5.04,0.10,1
123653,done,601398.XSHG,2009-02-17 09:57:00,sell,long,4.08,0.00,1
123653,done,600887.XSHG,2009-02-17 09:57:00,sell,long,10.75,0.00,1
123653,done,601939.XSHG,2009-02-17 09:57:00,sell,long,4.62,0.00,1
123653,done,601988.XSHG,2009-02-17 09:57:00,buy,long,3.53,0.10,1
123653,done,600276.XSHG,2009-02-17 09:57:00,sell,long,41.88,0.00,1
123653,done,600016.XSHG,2009-02-17 09:58:00,sell,long,5.22,0.00,1
123653,done,600887.XSHG,2009-02-17 10:57:00,buy,long,10.96,0.10,1
123653,done,601766.XSHG,2009-02-17 10:57:00,sell,long,5.00,0.00,1
123653,done,601939.XSHG,2009-02-17 10:57:00,buy,long,4.54,0.10,1
123653,done,600104.XSHG,2009-02-17 10:57:00,buy,long,8.66,0.10,1
123653,done,600028.XSHG,2009-02-17 10:57:00,sell,long,9.10,0.00,1
123653,done,600000.XSHG,2009-02-17 10:57:00,buy,long,18.11,0.10,1
123653,done,600276.XSHG,2009-02-17 10:57:00,buy,long,41.71,0.10,1
123653,done,600016.XSHG,2009-02-17 10:58:00,buy,long,5.15,0.10,1
123653,done,600104.XSHG,2009-02-17 10:59:00,sell,long,8.60,0.00,1
123653,done,601766.XSHG,2009-02-17 13:27:00,buy,long,4.99,0.10,1
123653,done,600104.XSHG,2009-02-17 13:27:00,buy,long,8.68,0.10,1
123653,done,601939.XSHG,2009-02-17 13:28:00,sell,long,4.44,0.00,1
123653,done,600050.XSHG,2009-02-17 14:27:00,sell,long,5.85,0.00,1
123653,done,600000.XSHG,2009-02-17 14:27:00,sell,long,18.12,0.00,1
123653,done,601766.XSHG,2009-02-17 14:27:00,sell,long,4.99,0.00,1
123653,done,600104.XSHG,2009-02-17 14:28:00,sell,long,8.54,0.00,1
