id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600028.XSHG,2016-12-02 09:57:00,sell,long,5.45,0.00,1
123653,done,600104.XSHG,2016-12-02 09:57:00,sell,long,25.21,0.00,1
123653,done,600276.XSHG,2016-12-02 09:57:00,buy,long,46.91,0.10,1
123653,done,600028.XSHG,2016-12-02 09:59:00,buy,long,5.49,0.10,1
123653,done,600028.XSHG,2016-12-02 10:58:00,sell,long,5.52,0.00,1
123653,done,600050.XSHG,2016-12-02 10:59:00,sell,long,7.08,0.00,1
123653,done,601668.XSHG,2016-12-02 10:59:00,buy,long,10.69,0.10,1
123653,done,601668.XSHG,2016-12-02 13:27:00,sell,long,10.50,0.00,1
123653,done,601939.XSHG,2016-12-02 13:27:00,buy,long,5.65,0.10,1
123653,done,600276.XSHG,2016-12-02 13:27:00,sell,long,46.80,0.00,1
123653,done,601288.XSHG,2016-12-02 13:29:00,sell,long,3.23,0.00,1
123653,done,600000.XSHG,2016-12-02 14:27:00,buy,long,17.02,0.10,1
123653,done,600585.XSHG,2016-12-02 14:29:00,sell,long,18.58,0.00,1
123653,done,600104.XSHG,2016-12-02 14:29:00,buy,long,25.02,0.10,1
