id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600000.XSHG,2013-02-08 09:57:00,sell,long,11.38,0.00,1
123653,done,600887.XSHG,2013-02-08 09:57:00,sell,long,28.77,0.00,1
123653,done,600585.XSHG,2013-02-08 09:57:00,buy,long,21.31,0.10,1
123653,done,600104.XSHG,2013-02-08 09:58:00,buy,long,18.09,0.10,1
123653,done,600276.XSHG,2013-02-08 10:57:00,sell,long,33.01,0.00,1
123653,done,600000.XSHG,2013-02-08 10:57:00,buy,long,11.28,0.10,1
123653,done,600585.XSHG,2013-02-08 10:57:00,sell,long,21.10,0.00,1
123653,done,601766.XSHG,2013-02-08 10:58:00,sell,long,5.05,0.00,1
123653,done,601299.XSHG,2013-02-08 10:59:00,sell,long,4.88,0.00,1
123653,done,601668.XSHG,2013-02-08 13:27:00,sell,long,4.13,0.00,1
123653,done,601299.XSHG,2013-02-08 13:29:00,buy,long,4.93,0.10,1
123653,done,600276.XSHG,2013-02-08 14:27:00,buy,long,32.78,0.10,1
123653,done,600887.XSHG,2013-02-08 14:27:00,buy,long,28.79,0.10,1
123653,done,601766.XSHG,2013-02-08 14:28:00,buy,long,5.10,0.10,1
