id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,601288.XSHG,2019-04-19 09:57:00,sell,long,3.87,0.00,1
123653,done,601628.XSHG,2019-04-19 09:57:00,sell,long,31.46,0.00,1
123653,done,601138.XSHG,2019-04-19 09:57:00,sell,long,18.46,0.00,1
123653,done,600585.XSHG,2019-04-19 09:57:00,sell,long,42.40,0.00,1
123653,done,600276.XSHG,2019-04-19 10:57:00,sell,long,64.00,0.00,1
123653,done,601628.XSHG,2019-04-19 10:57:00,buy,long,30.75,0.10,1
123653,done,601998.XSHG,2019-04-19 10:57:00,sell,long,6.49,0.00,1
123653,done,600104.XSHG,2019-04-19 10:57:00,sell,long,29.29,0.00,1
123653,done,600050.XSHG,2019-04-19 10:57:00,sell,long,6.82,0.00,1
123653,done,600887.XSHG,2019-04-19 10:58:00,sell,long,30.60,0.00,1
123653,done,601818.XSHG,2019-04-19 10:59:00,buy,long,4.29,0.10,1
123653,done,600000.XSHG,2019-04-19 13:27:00,sell,long,11.97,0.00,1
123653,done,600887.XSHG,2019-04-19 13:28:00,buy,long,30.79,0.10,1
123653,done,600050.XSHG,2019-04-19 13:28:00,buy,long,7.02,0.10,1
123653,done,601318.XSHG,2019-04-19 13:29:00,sell,long,87.00,0.00,1
