id,status,symbol,time,type,trend,price,balance_rate,try_count
123653,done,600276.XSHG,2017-08-30 09:57:00,sell,long,53.93,0.00,1
123653,done,600887.XSHG,2017-08-30 09:57:00,buy,long,22.54,0.10,1
123653,done,600887.XSHG,2017-08-30 10:57:00,sell,long,22.51,0.00,1
123653,done,600276.XSHG,2017-08-30 10:58:00,buy,long,54.16,0.10,1
123653,done,600000.XSHG,2017-08-30 13:27:00,sell,long,12.86,0.00,1
123653,done,601318.XSHG,2017-08-30 13:27:00,sell,long,56.41,0.00,1
123653,done,600276.XSHG,2017-08-30 13:27:00,sell,long,53.92,0.00,1
123653,done,600887.XSHG,2017-08-30 13:27:00,buy,long,22.58,0.10,1
123653,done,601288.XSHG,2017-08-30 13:27:00,sell,long,3.84,0.00,1
123653,done,601398.XSHG,2017-08-30 13:29:00,sell,long,5.96,0.00,1
123653,done,601939.XSHG,2017-08-30 13:29:00,sell,long,7.01,0.00,1
123653,done,600276.XSHG,2017-08-30 14:27:00,buy,long,54.15,0.10,1
